result,macro_f1_percent,accuracy_percent,errors,nll,brier_sum,rescues_vs_ARFTR,harms_vs_ARFTR,net_vs_ARFTR,fold_nets,scope
ARFTR,85.38364807373623,85.89511754068717,702,0.37734901395307213,0.21350492452064215,0,0,0,"[0, 0, 0, 0, 0]",saved_internal_development_predictions
T2,71.92376821204284,71.6294956801286,1412,0.7488199986228007,0.40503205290134847,230,940,-710,"[-181, -109, -100, -196, -124]",saved_internal_development_predictions
crossing_primary,85.61164813182998,86.09604179224432,692,0.37707509130472455,0.21322123930298012,19,9,10,"[9, 2, -1, 0, 0]",saved_internal_development_predictions
motion_appearance_raw,85.3591232861016,85.83484026522001,705,0.37849568107626286,0.21393153498454154,35,38,-3,"[5, -4, -2, 4, -6]",saved_internal_development_predictions
motion_appearance_routed,85.38364807373623,85.89511754068717,702,0.37734901395307213,0.21350492452064215,0,0,0,"[0, 0, 0, 0, 0]",saved_internal_development_predictions
motion_phase_destroyed_raw,85.34551863139002,85.8147478400643,706,0.37775443760872107,0.21353423873575506,38,42,-4,"[5, -3, -2, 4, -8]",saved_internal_development_predictions
motion_phase_destroyed_routed,85.38513588222398,85.89511754068717,702,0.37735846896546954,0.21350703020379075,2,2,0,"[0, 0, 0, 0, 0]",saved_internal_development_predictions
motion_signed_motion_raw,85.46718149345108,85.97548724131002,698,0.37975769331912174,0.21484782916724343,40,36,4,"[7, 2, -2, 4, -7]",saved_internal_development_predictions
motion_signed_motion_routed,85.38364807373623,85.89511754068717,702,0.37734901395307213,0.21350492452064215,0,0,0,"[0, 0, 0, 0, 0]",saved_internal_development_predictions
rgb_conditional_raw,85.32308067337763,85.85493269037573,704,0.3777935674834925,0.21398427983690546,9,11,-2,"[-1, -1, 0, 1, -1]",saved_internal_development_predictions
rgb_direct_raw,85.35816829480206,85.87502511553144,703,0.37748282165987446,0.21374375075904203,10,11,-1,"[-2, 0, 0, 2, -1]",saved_internal_development_predictions
rgb_template_raw,85.29161186683211,85.8147478400643,706,0.37667839010940857,0.2132105344874489,9,13,-4,"[-2, -1, -1, 1, -1]",saved_internal_development_predictions
rgb_unconditional_raw,85.28320736641459,85.83484026522001,705,0.3776927120814672,0.21389891428834718,8,11,-3,"[-4, 1, -1, 2, -1]",saved_internal_development_predictions
missing_contrast_DIAGNOSTIC_ONLY,85.3862049829449,85.91520996584288,701,0.37763294664762126,0.213538408558938,17,16,1,"[-1, 1, -1, -3, 5]",posthoc_diagnostic_not_candidate
matched_plain,85.46718149345108,85.97548724131002,698,0.3797581089281735,0.21484808134710914,40,36,4,"[7, 2, -2, 4, -7]",matched_optional_experiment_not_promoted
matched_paired_null,85.31139600341605,85.79465541490859,707,0.37884861537368547,0.2146593137065179,40,45,-5,"[1, 1, -1, -2, -4]",matched_optional_experiment_not_promoted
